Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 15h-16h, 15
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 16h-17h, 82
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 17h-18h, 135
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 18h-19h, 126
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 19h-20h, 28
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 20h-21h, 54
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 15h-16h, 59
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 16h-17h, 87
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 17h-18h, 169
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 18h-19h, 165
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 19h-20h, 166
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 20h-21h, 4
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 15h-16h, 106
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 16h-17h, 110
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 17h-18h, 161
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 18h-19h, 119
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 19h-20h, 165
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 20h-21h, 35
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 15h-16h, 88
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 16h-17h, 134
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 17h-18h, 169
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 18h-19h, 113
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 19h-20h, 103
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 20h-21h, 23
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 15h-16h, 69
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 16h-17h, 86
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 17h-18h, 105
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 18h-19h, 161
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 19h-20h, 96
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 20h-21h, 4
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 15h-16h, 24
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 16h-17h, 22
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 19h-20h, 17
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 15h-16h, 8
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 17h-18h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 18h-19h, 8
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 19h-20h, 8
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 20h-21h, 8
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 15h-16h, 72
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 16h-17h, 65
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 17h-18h, 84
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 18h-19h, 95
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 19h-20h, 19
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 20h-21h, 1
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 15h-16h, 63
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 16h-17h, 84
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 17h-18h, 97
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 18h-19h, 105
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 19h-20h, 37
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 20h-21h, 19
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 15h-16h, 93
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 16h-17h, 54
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 17h-18h, 80
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 18h-19h, 70
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 19h-20h, 114
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 20h-21h, 17
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 15h-16h, 70
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 16h-17h, 95
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 17h-18h, 78
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 18h-19h, 116
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 19h-20h, 46
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 20h-21h, 24
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 15h-16h, 98
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 16h-17h, 67
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 17h-18h, 145
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 18h-19h, 126
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 19h-20h, 65
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 20h-21h, 18
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 15h-16h, 15
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 16h-17h, 13
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 17h-18h, 69
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 18h-19h, 10
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 19h-20h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 20h-21h, 17
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 15h-16h, 11
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 16h-17h, 13
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 17h-18h, 28
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 18h-19h, 14
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 19h-20h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 20h-21h, 6
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 15h-16h, 10
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 16h-17h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 17h-18h, 41
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 18h-19h, 59
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 19h-20h, 75
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 20h-21h, 14
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 15h-16h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 16h-17h, 4
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 17h-18h, 1
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 18h-19h, 11
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 19h-20h, 24
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 20h-21h, 6
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 15h-16h, 69
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 16h-17h, 52
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 17h-18h, 117
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 18h-19h, 93
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 19h-20h, 51
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 20h-21h, 51
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 15h-16h, 94
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 16h-17h, 72
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 17h-18h, 245
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 18h-19h, 163
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 19h-20h, 54
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 20h-21h, 15
