Av. do Contorno entre Gutierrez e Savassi, 2a f, 17h-18h, 52
Av. do Contorno entre Gutierrez e Savassi, 2a f, 18h-19h, 111
Av. do Contorno entre Gutierrez e Savassi, 2a f, 19h-20h, 11
Av. do Contorno entre Gutierrez e Savassi, 2a f, 20h-21h, 8
Av. do Contorno entre Gutierrez e Savassi, 5a f, 15h-16h, 33
Av. do Contorno entre Gutierrez e Savassi, 5a f, 16h-17h, 32
Av. do Contorno entre Gutierrez e Savassi, 5a f, 17h-18h, 54
Av. do Contorno entre Gutierrez e Savassi, 5a f, 18h-19h, 78
Av. do Contorno entre Gutierrez e Savassi, 5a f, 19h-20h, 50
Av. do Contorno entre Gutierrez e Savassi, 5a f, 20h-21h, 5
Av. do Contorno entre Gutierrez e Savassi, Sab f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 18h-19h, 3
Av. do Contorno entre Gutierrez e Savassi, Sab f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sab f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 3a f, 15h-16h, 46
Av. do Contorno entre Gutierrez e Savassi, 3a f, 16h-17h, 32
Av. do Contorno entre Gutierrez e Savassi, 3a f, 17h-18h, 108
Av. do Contorno entre Gutierrez e Savassi, 3a f, 18h-19h, 57
Av. do Contorno entre Gutierrez e Savassi, 3a f, 19h-20h, 73
Av. do Contorno entre Gutierrez e Savassi, 3a f, 20h-21h, 2
Av. do Contorno entre Gutierrez e Savassi, 6a f, 15h-16h, 8
Av. do Contorno entre Gutierrez e Savassi, 6a f, 16h-17h, 15
Av. do Contorno entre Gutierrez e Savassi, 6a f, 17h-18h, 40
Av. do Contorno entre Gutierrez e Savassi, 6a f, 18h-19h, 76
Av. do Contorno entre Gutierrez e Savassi, 6a f, 19h-20h, 29
Av. do Contorno entre Gutierrez e Savassi, 6a f, 20h-21h, 0
