Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 17h-18h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 18h-19h, 10
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 19h-20h, 6
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 20h-21h, 9
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 15h-16h, 6
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 16h-17h, 8
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 17h-18h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 18h-19h, 14
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 19h-20h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 20h-21h, 11
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 15h-16h, 49
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 16h-17h, 21
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 17h-18h, 49
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 18h-19h, 24
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 19h-20h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 20h-21h, 5
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 15h-16h, 48
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 16h-17h, 87
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 17h-18h, 34
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 18h-19h, 26
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 19h-20h, 13
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 20h-21h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 15h-16h, 71
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 16h-17h, 41
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 17h-18h, 28
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 18h-19h, 62
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 19h-20h, 13
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 20h-21h, 8
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 15h-16h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 16h-17h, 49
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 17h-18h, 50
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 18h-19h, 24
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 20h-21h, 14
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 15h-16h, 22
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 17h-18h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 18h-19h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 20h-21h, 23
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 15h-16h, 38
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 16h-17h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 17h-18h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 18h-19h, 13
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 19h-20h, 20
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 20h-21h, 8
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 15h-16h, 27
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 16h-17h, 7
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 17h-18h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 18h-19h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 19h-20h, 25
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 15h-16h, 63
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 16h-17h, 29
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 17h-18h, 31
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 18h-19h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 20h-21h, 16
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 15h-16h, 78
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 16h-17h, 101
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 17h-18h, 18
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 18h-19h, 51
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 19h-20h, 37
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 20h-21h, 60
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 15h-16h, 58
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 16h-17h, 64
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 17h-18h, 75
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 18h-19h, 81
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 20h-21h, 26
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 15h-16h, 58
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 16h-17h, 35
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 17h-18h, 13
