Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 17h-18h, 22
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 18h-19h, 11
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 19h-20h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 20h-21h, 7
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 15h-16h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 16h-17h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 17h-18h, 28
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 18h-19h, 4
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 19h-20h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 15h-16h, 49
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 16h-17h, 69
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 17h-18h, 82
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 18h-19h, 38
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 19h-20h, 22
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 20h-21h, 12
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 15h-16h, 76
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 16h-17h, 48
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 17h-18h, 62
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 18h-19h, 20
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 19h-20h, 10
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 20h-21h, 20
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 15h-16h, 44
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 16h-17h, 66
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 17h-18h, 67
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 18h-19h, 23
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 19h-20h, 22
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 20h-21h, 26
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 15h-16h, 61
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 16h-17h, 22
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 17h-18h, 5
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 15h-16h, 73
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 16h-17h, 51
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 17h-18h, 39
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 18h-19h, 58
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 19h-20h, 175
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 20h-21h, 64
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 15h-16h, 64
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 16h-17h, 47
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 17h-18h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 18h-19h, 20
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 19h-20h, 16
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 20h-21h, 4
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 15h-16h, 10
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 16h-17h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 17h-18h, 4
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 18h-19h, 28
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 19h-20h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 20h-21h, 4
