Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 15h-16h, 45
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 16h-17h, 65
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 17h-18h, 30
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 18h-19h, 17
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 20h-21h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 15h-16h, 26
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 16h-17h, 15
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 17h-18h, 16
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 18h-19h, 41
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 19h-20h, 26
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 20h-21h, 51
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 15h-16h, 62
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 16h-17h, 11
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 17h-18h, 21
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 18h-19h, 64
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 19h-20h, 20
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 20h-21h, 17
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 15h-16h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 16h-17h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 17h-18h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 19h-20h, 10
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 15h-16h, 20
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 16h-17h, 21
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 17h-18h, 33
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 18h-19h, 26
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 19h-20h, 23
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 20h-21h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 15h-16h, 20
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 16h-17h, 17
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 17h-18h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 18h-19h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 19h-20h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 15h-16h, 20
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 16h-17h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 17h-18h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 18h-19h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 19h-20h, 25
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 20h-21h, 19
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 15h-16h, 32
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 16h-17h, 5
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 17h-18h, 56
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 18h-19h, 49
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 19h-20h, 34
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 20h-21h, 41
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 15h-16h, 55
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 16h-17h, 46
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 17h-18h, 65
