Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 19h-20h, 40
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 15h-16h, 10
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 16h-17h, 13
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 17h-18h, 5
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 18h-19h, 1
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 19h-20h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 15h-16h, 26
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 16h-17h, 80
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 17h-18h, 75
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 18h-19h, 82
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 19h-20h, 7
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 20h-21h, 11
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 15h-16h, 21
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 16h-17h, 73
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 17h-18h, 112
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 18h-19h, 131
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 19h-20h, 42
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 20h-21h, 14
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 15h-16h, 84
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 16h-17h, 25
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 17h-18h, 119
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 18h-19h, 165
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 19h-20h, 38
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 20h-21h, 26
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 15h-16h, 84
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 16h-17h, 77
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 17h-18h, 117
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 18h-19h, 105
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 19h-20h, 10
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 15h-16h, 47
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 16h-17h, 110
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 17h-18h, 74
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 18h-19h, 165
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 19h-20h, 66
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 20h-21h, 12
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 15h-16h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 16h-17h, 24
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 17h-18h, 12
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 18h-19h, 8
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 19h-20h, 20
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 20h-21h, 14
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 15h-16h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 17h-18h, 6
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 18h-19h, 18
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 19h-20h, 24
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 15h-16h, 78
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 16h-17h, 53
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 17h-18h, 120
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 18h-19h, 125
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 19h-20h, 28
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 20h-21h, 19
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 15h-16h, 45
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 16h-17h, 42
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 17h-18h, 98
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 18h-19h, 163
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 19h-20h, 74
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 20h-21h, 17
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 15h-16h, 84
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 16h-17h, 88
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 17h-18h, 110
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 18h-19h, 111
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 19h-20h, 34
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 15h-16h, 60
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 16h-17h, 48
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 17h-18h, 39
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 15h-16h, 70
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 16h-17h, 47
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 17h-18h, 117
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 18h-19h, 168
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 19h-20h, 107
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 20h-21h, 57
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 15h-16h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 16h-17h, 14
