Av. do Contorno entre Gutierrez e Savassi, Sun, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 15h-16h, 21
Av. do Contorno entre Gutierrez e Savassi, Mon, 16h-17h, 13
Av. do Contorno entre Gutierrez e Savassi, Mon, 17h-18h, 45
Av. do Contorno entre Gutierrez e Savassi, Mon, 18h-19h, 41
Av. do Contorno entre Gutierrez e Savassi, Mon, 19h-20h, 18
Av. do Contorno entre Gutierrez e Savassi, Mon, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Tue, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Tue, 16h-17h, 33
Av. do Contorno entre Gutierrez e Savassi, Tue, 17h-18h, 70
Av. do Contorno entre Gutierrez e Savassi, Tue, 18h-19h, 63
Av. do Contorno entre Gutierrez e Savassi, Tue, 19h-20h, 36
Av. do Contorno entre Gutierrez e Savassi, Tue, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Wed, 15h-16h, 19
Av. do Contorno entre Gutierrez e Savassi, Wed, 16h-17h, 34
Av. do Contorno entre Gutierrez e Savassi, Wed, 17h-18h, 59
Av. do Contorno entre Gutierrez e Savassi, Wed, 18h-19h, 105
Av. do Contorno entre Gutierrez e Savassi, Wed, 19h-20h, 12
Av. do Contorno entre Gutierrez e Savassi, Wed, 20h-21h, 7
Av. do Contorno entre Gutierrez e Savassi, Thu, 15h-16h, 24
Av. do Contorno entre Gutierrez e Savassi, Thu, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Thu, 17h-18h, 57
Av. do Contorno entre Gutierrez e Savassi, Thu, 18h-19h, 95
Av. do Contorno entre Gutierrez e Savassi, Thu, 19h-20h, 35
Av. do Contorno entre Gutierrez e Savassi, Thu, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Fri, 15h-16h, 28
Av. do Contorno entre Gutierrez e Savassi, Fri, 16h-17h, 26
Av. do Contorno entre Gutierrez e Savassi, Fri, 17h-18h, 69
Av. do Contorno entre Gutierrez e Savassi, Fri, 18h-19h, 62
Av. do Contorno entre Gutierrez e Savassi, Fri, 19h-20h, 42
Av. do Contorno entre Gutierrez e Savassi, Fri, 20h-21h, 7
Av. do Contorno entre Gutierrez e Savassi, Sat, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 16h-17h, 5
Av. do Contorno entre Gutierrez e Savassi, Sat, 17h-18h, 15
Av. do Contorno entre Gutierrez e Savassi, Sat, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 19h-20h, 7
Av. do Contorno entre Gutierrez e Savassi, Sat, 20h-21h, 16
Av. do Contorno entre Gutierrez e Savassi, Sun, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 18h-19h, 7
Av. do Contorno entre Gutierrez e Savassi, Sun, 19h-20h, 7
Av. do Contorno entre Gutierrez e Savassi, Mon, 15h-16h, 22
Av. do Contorno entre Gutierrez e Savassi, Mon, 16h-17h, 39
Av. do Contorno entre Gutierrez e Savassi, Mon, 17h-18h, 36
Av. do Contorno entre Gutierrez e Savassi, Mon, 18h-19h, 62
Av. do Contorno entre Gutierrez e Savassi, Mon, 19h-20h, 13
Av. do Contorno entre Gutierrez e Savassi, Mon, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Tue, 15h-16h, 17
Av. do Contorno entre Gutierrez e Savassi, Tue, 16h-17h, 34
Av. do Contorno entre Gutierrez e Savassi, Tue, 17h-18h, 58
Av. do Contorno entre Gutierrez e Savassi, Tue, 18h-19h, 107
Av. do Contorno entre Gutierrez e Savassi, Tue, 19h-20h, 30
Av. do Contorno entre Gutierrez e Savassi, Tue, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Wed, 15h-16h, 8
Av. do Contorno entre Gutierrez e Savassi, Wed, 16h-17h, 14
Av. do Contorno entre Gutierrez e Savassi, Wed, 17h-18h, 50
Av. do Contorno entre Gutierrez e Savassi, Wed, 18h-19h, 129
Av. do Contorno entre Gutierrez e Savassi, Wed, 19h-20h, 6
Av. do Contorno entre Gutierrez e Savassi, Wed, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Thu, 15h-16h, 9
Av. do Contorno entre Gutierrez e Savassi, Thu, 16h-17h, 28
Av. do Contorno entre Gutierrez e Savassi, Thu, 17h-18h, 13
Av. do Contorno entre Gutierrez e Savassi, Fri, 15h-16h, 14
Av. do Contorno entre Gutierrez e Savassi, Fri, 16h-17h, 34
Av. do Contorno entre Gutierrez e Savassi, Fri, 17h-18h, 60
Av. do Contorno entre Gutierrez e Savassi, Fri, 18h-19h, 73
Av. do Contorno entre Gutierrez e Savassi, Fri, 19h-20h, 48
Av. do Contorno entre Gutierrez e Savassi, Fri, 20h-21h, 14
Av. do Contorno entre Gutierrez e Savassi, Sat, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 18h-19h, 12
Av. do Contorno entre Gutierrez e Savassi, Sat, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 17h-18h, 5
Av. do Contorno entre Gutierrez e Savassi, Sun, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 20h-21h, 0
