Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 20h-21h, 36
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 15h-16h, 79
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 16h-17h, 76
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 17h-18h, 66
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 18h-19h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 19h-20h, 58
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 20h-21h, 30
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 15h-16h, 6
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 16h-17h, 32
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 17h-18h, 23
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 18h-19h, 45
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 19h-20h, 6
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 20h-21h, 16
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 15h-16h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 16h-17h, 46
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 17h-18h, 84
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 18h-19h, 100
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 20h-21h, 19
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 15h-16h, 15
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 16h-17h, 33
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 17h-18h, 52
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 18h-19h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 20h-21h, 21
