Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 15h-16h, 33
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 16h-17h, 63
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 17h-18h, 50
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 18h-19h, 142
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 20h-21h, 26
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 15h-16h, 22
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 16h-17h, 4
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 17h-18h, 21
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 18h-19h, 70
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 19h-20h, 66
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 20h-21h, 49
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 15h-16h, 17
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 17h-18h, 20
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 18h-19h, 71
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 19h-20h, 28
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 20h-21h, 42
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 15h-16h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 16h-17h, 21
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 17h-18h, 15
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 15h-16h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 17h-18h, 48
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 18h-19h, 27
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 20h-21h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 15h-16h, 0
